0,1,2,3,4
Programme,Service,Date of  Transmission,Issue,Outcome
Five Live Breakfast,Radio Five Live,12/01/2022,Misleading  correction,Upheld
The World at One,Radio 4,24/01/2022,Inaccuracy about  Nusrat Ghani MP,Upheld
Gymstars,CBBC,Series,Included  inappropriate  contributors,Not upheld
Unvaccinated,BBC Two,20/07/2022,Pro-vaccination bias,Not upheld
BBC News (10pm),BBC One,07/09/2022,Biased coverage of  new Cabinet,Not upheld
Ashley Blaker’s Goyish  Guide to Judaism,Radio 4,30/06/2022,Joke offensive to  Christians,Not upheld
Today,Radio 4,20/06/2022,Inaccuracy about  trans women in  sport,Not upheld
BBC News (6pm),BBC News  Channel,13/07/2022,Uncritical treatment  of Azov Battalion,Not upheld
All That Glitters: Britain’s  Next Jewellery Star,BBC Two,10/10/2022,Offensive reference  to straight white  males,Not upheld
"BBC News (6 & 10pm),  News",BBC One   BBC News  Channel,15/04/2022,Pro-Israeli bias,Not upheld
Breakfast,BBC One,23/07/2022,Heatwave wrongly  linked to climate  change,Not upheld
Breakfast,BBC One,26/08/2022,Anti-Government  bias,Not upheld
The Ranganation,BBC Two,09/10/2022,Irresponsible  treatment of food- labelling,Not upheld
